Age group,At least one dose,Primary course,First booster,Second booster,Third booster,Not vaccinated,Country
60+ years,99.0,96.7,92.9,61.8,0.4,1.0,Spain
50-59 years,95.0,88.4,77.0,13.6,0.2,5.0,Spain
25-49 years,88.6,79.2,50.8,4.8,0.1,11.4,Spain
18-24 years,89.5,73.4,36.4,1.9,0.0,10.5,Spain
<18 years,59.7,47.2,0.9,0.0,0.0,40.3,Spain
60+ years,97.6,97.5,92.9,61.0,12.4,2.4,Norway
50-59 years,95.4,94.3,81.7,10.6,0.5,4.6,Norway
25-49 years,90.0,87.0,56.4,3.1,0.1,10.0,Norway
18-24 years,92.4,87.9,48.3,0.9,0.0,7.6,Norway
<18 years,31.4,13.4,0.0,0.0,0.0,68.6,Norway
60+ years,96.4,94.0,93.1,31.7,2.8,3.6,Italy
50-59 years,92.8,90.0,87.8,6.0,0.1,7.2,Italy
25-49 years,88.9,85.5,79.1,2.8,0.0,11.1,Italy
18-24 years,93.9,90.5,84.5,1.3,0.0,6.1,Italy
<18 years,47.0,50.8,20.8,0.2,0.0,49.2,Italy
60+ years,100.0,100.0,98.7,87.3,2.5,0.0,Denmark
50-59 years,94.0,93.7,87.0,56.6,0.7,6.0,Denmark
25-49 years,85.2,86.1,62.6,5.2,0.1,13.9,Denmark
18-24 years,84.6,83.6,50.0,1.2,0.0,15.4,Denmark
<18 years,38.6,35.0,0.1,0.0,0.0,61.4,Denmark


